Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
lab04_TS,Chrome 122.0.0.0,,,21-03-2024 20:04:48,21-03-2024 20:05:25,37.036s,PASSED
,,,,,,,
Test Cases/lab04_TC,Chrome 122.0.0.0,,,21-03-2024 20:04:49,21-03-2024 20:04:55,6.381s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 20:04:49,21-03-2024 20:04:51,1.740s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 20:04:51,21-03-2024 20:04:51,0.632s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 20:04:51,21-03-2024 20:04:54,2.638s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 20:04:54,21-03-2024 20:04:54,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 20:04:54,21-03-2024 20:04:55,0.316s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,21-03-2024 20:04:55,21-03-2024 20:04:55,0.198s,PASSED
,,,,,,,
Test Cases/lab04_TC,Chrome 122.0.0.0,,,21-03-2024 20:04:55,21-03-2024 20:05:00,4.687s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 20:04:55,21-03-2024 20:04:56,0.757s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 20:04:56,21-03-2024 20:04:56,0.580s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 20:04:56,21-03-2024 20:04:59,2.364s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 20:04:59,21-03-2024 20:04:59,0.543s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 20:04:59,21-03-2024 20:05:00,0.283s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,21-03-2024 20:05:00,21-03-2024 20:05:00,0.129s,PASSED
,,,,,,,
Test Cases/lab04_TC,Chrome 122.0.0.0,,,21-03-2024 20:05:00,21-03-2024 20:05:05,4.933s,PASSED
